X,Y,y3_hhid,lat_mod,lon_mod,DN,Label,Description
35.35704,-3.21051,0212-001,-3.21051,35.35704,102,lo-lo,"Low agricultural potential, Low market access"
35.35704,-3.21051,0213-001,-3.21051,35.35704,102,lo-lo,"Low agricultural potential, Low market access"
35.35704,-3.21051,0214-001,-3.21051,35.35704,102,lo-lo,"Low agricultural potential, Low market access"
37.88517,-4.34477,0276-005,-4.34477,37.88517,102,lo-lo,"Low agricultural potential, Low market access"
38.8611,-5.53957,0422-001,-5.53957,38.8611,102,lo-lo,"Low agricultural potential, Low market access"
38.8611,-5.53957,0423-002,-5.53957,38.8611,102,lo-lo,"Low agricultural potential, Low market access"
38.8611,-5.53957,0424-001,-5.53957,38.8611,102,lo-lo,"Low agricultural potential, Low market access"
38.8611,-5.53957,0425-001,-5.53957,38.8611,102,lo-lo,"Low agricultural potential, Low market access"
38.8611,-5.53957,0426-001,-5.53957,38.8611,102,lo-lo,"Low agricultural potential, Low market access"
38.8611,-5.53957,0427-001,-5.53957,38.8611,102,lo-lo,"Low agricultural potential, Low market access"
38.8611,-5.53957,0428-001,-5.53957,38.8611,102,lo-lo,"Low agricultural potential, Low market access"
38.8611,-5.53957,0429-001,-5.53957,38.8611,102,lo-lo,"Low agricultural potential, Low market access"
38.8611,-5.53957,0430-001,-5.53957,38.8611,102,lo-lo,"Low agricultural potential, Low market access"
37.41147,-5.83344,0459-003,-5.83344,37.41147,102,lo-lo,"Low agricultural potential, Low market access"
37.65239,-7.45974,0474-002,-7.45974,37.65239,102,lo-lo,"Low agricultural potential, Low market access"
37.00639,-6.32727,0477-001,-6.32727,37.00639,102,lo-lo,"Low agricultural potential, Low market access"
37.00639,-6.32727,0478-001,-6.32727,37.00639,102,lo-lo,"Low agricultural potential, Low market access"
